datetime|ETH_USD_BID|ETH_USD_ASK|ETH_BTC_BID|ETH_BTC_ASK|BTC_USD_BID|BTC_USD_ASK
2017-10-29 14:51:25|300.1003001|300.898899|0.05239232|0.05266119|5740.23114801|5768.24
2017-10-29 14:51:28|300.1003001|300.898899|0.05239232|0.05266119|5740.23114801|5768.23
2017-10-29 14:51:32|300.1003001|300.898899|0.05245828|0.05266119|5740.23114801|5768.22884634
2017-10-29 15:43:15|301.572945|303.29|0.0528|0.05293504|5709.1|5732.95355527
2017-10-29 15:43:21|301.572945|303.2|0.0528|0.05293504|5709.10114188|5732.95240863
2017-10-29 15:43:26|301.576624|303.2|0.0528|0.05293504|5709.10114188|5732.95240862
2017-10-29 15:43:40|301.582135|303.19|0.0528|0.05293504|5710.0|5732.94084062
2017-10-29 15:43:43|301.570567|303.19|0.0528|0.05293504|5710.0|5732.94084062
2017-10-29 15:43:46|301.582494|302.0|0.0528|0.05293504|5710.0|5732.93969406
2017-10-29 16:13:11|302.96|303.07841983|0.05268033|0.05276999|5723.0|5740.0
2017-10-29 16:13:15|301.99|302.0|0.05268033|0.05276999|5723.0|5740.0
2017-10-29 16:13:19|301.81572423|302.0|0.05268033|0.05276999|5723.0|5740.0
2017-10-29 18:50:58|300.00248|301.478|0.05120868|0.05127|5856.02|5859.999
2017-10-29 18:51:01|300.00248|301.478|0.05120868|0.05127|5856.02|5859.999
2017-10-29 18:51:04|300.00248|301.478|0.05118054|0.05127|5856.02|5859.999
2017-10-29 18:59:24|300.017946|301.386899|0.0511781|0.05130611|5869.0|5869.03117383
2017-10-29 18:59:27|300.017946|301.386899|0.0511681|0.05130611|5869.0|5869.03117383
2017-10-29 18:59:31|300.017946|301.40320502|0.0511681|0.05130611|5868.0|5869.03017383
